n,n_patent,link1,date,title,link2,publication,authors,main_lab
1.0,2847136(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2847136&TypeFile=html,08.11.2024,УСТРОЙСТВО ДЛЯ ОХЛАЖДЕНИЯ БИОЛОГИЧЕСКИХ ОБРАЗЦОВ,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/847/068/%D0%98%D0%97-02847068-00001/document.pdf,26.09.2025 БИПМ №27,"Белокопытова К.В., Агапов А.В., Мицын Г.В., Белов О.В.",Лаборатория радиационной биологии
2.0,2847068(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2847068&TypeFile=html,"08.10,2024",СПОСОБ ИЗГОТОВЛЕНИЯ АНИЗОТРОПНОЙ ПОРИСТОЙ ПЛЕНКИ ИЗ ДИЭЛЕКТРИЧЕСКОГО МАТЕРИАЛА И АНИЗОТРОПНАЯ ПЛЕНКА ИЗ ДИЭЛЕКТРИЧЕСКОГО МАТЕРИАЛА,https://new.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/847/068/%D0%98%D0%97-02847068-00001/document.pdf,24.09.2025 БИПМ №27,"Апель П.Ю., Дмитриев Н.С., Нечаев А.Н., Полежаева О.А., Иванов О.М.",Лаборатория ядерных реакций им. Г.Н. Флерова
3.0,2842003(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2843003&TypeFile=html,18.07.2024,СПОСОБ ВЫВОДА УСКОРЕННОГО ПУЧКА ПОЛОЖИТЕЛЬНО ЗАРЯЖЕННЫХ ЧАСТИЦ ИЗ ЦИКЛОТРОНА,https://new.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/842/003/%D0%98%D0%97-02842003-00001/document.pdf,18.06.2025 БИПМ №17,"Иваненко И.А., Гульбекян Г.Г.",Лаборатория физики высоких энергий им. В.И. Векслера и А.М. Балдина
4.0,2838994(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2838994&TypeFile=html,03.05.2024,ФИЛЬТРУЮЩИЙ ПОРИСТЫЙ МАТЕРИАЛ ДЛЯ СЕЛЕКТИВНОГО ВЫДЕЛЕНИЯ И КОНЦЕНТРИРОВАНИЯ ВНЕКЛЕТОЧНЫХ&NBSP;НУКЛЕИНОВЫХ КИСЛОТ ИЗ РАСТВОРОВ,https://new.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/838/994/%D0%98%D0%97-02838994-00001/document.pdf,24.04.2025 БИПМ №12,"Кравченко Е.В., Зарубин М.П., Апель П.Ю., Нечаев А.Н., Андреев Е.В.",Лаборатория ядерных проблем им. В.П. Джелепова
5.0,2834762(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2834762&TypeFile=html,02.05.2024,СПОСОБ ИМПУЛЬСНОГО НАПУСКА И ЗАПИРАНИЯ НЕЙТРОНОВ В КОЛЬЦЕВОМ НАКОПИТЕЛЕ НЕЙТРОНОВ,https://new.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/834/762/%D0%98%D0%97-02834762-00001/document.pdf,14.02.2025 БИПМ №5,"Никитенко Ю.В., Колупаев Е.Д., Журавлев В.В.",Лаборатория ядерных проблем им. В.П. Джелепова
6.0,2832195(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2832195&TypeFile=html,31.01.2024,СПОСОБ ИЗГОТОВЛЕНИЯ СОЕДИНЕНИЯ ВЫСОКОТЕМПЕРАТУРНЫХ СВЕРХПРОВОДЯЩИХ КАБЕЛЕЙ,https://new.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/832/195/%D0%98%D0%97-02832195-00001/document.pdf,23.12.2024 БИПМ №36,"Шемчук А.В., Ильин М.В., Новиков М.С.",Лаборатория физики высоких энергий им. В.И. Векслера и А.М. Балдина
7.0,2828765(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2828765&TypeFile=html,02.10.2023,СПОСОБ ОХЛАЖДЕНИЯ ПОТОКА НЕЙТРОНОВ И УСТРОЙСТВО ДЛЯ ЕГО РЕАЛИЗАЦИИ,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/828/765/%D0%98%D0%97-02828765-00001/document.pdf,17.10.2024 БИМП №29,Доля С.Н.,Лаборатория ядерных проблем им. В.П. Джелепова
8.0,2820796(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2820796&TypeFile=html,29.01.2024,СПОСОБ ИЗГОТОВЛЕНИЯ СВЕТООТРАЖАТЕЛЯ,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/820/796/%D0%98%D0%97-02820796-00001/document.pdf,10.06.2024 БИМП №10,"Смолянский А.С., Белов О.В., Кирюхин Д.П., Кущ П.П., Рындя С.М., Полунин К.С., Кошкина О.А., Трахтенберг Л.И.",Лаборатория ядерных проблем им. В.П. Джелепова
9.0,226117(RU)ПМ,https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPM&DocNumber=226117&TypeFile=html,13.02.2023,КОМПАКТНЫЙ НИЗКОФОНОВЫЙ СЧЕТЧИК НЕЙТРОНОВ НА ОСНОВЕ ГЕЛИЯ-3,https://new.fips.ru/ofpstorage/Doc/IZPM/RUNWU1/000/000/000/226/117/%D0%9F%D0%9C-00226117-00001/document.pdf,21.05.2024 БИМП №15,"Евсеев С.А., Емельянов А.Н., Камнев И.И., Розов С.В., Якушев Е.А.",Лаборатория ядерных проблем им. В.П. Джелепова
10.0,2816244(RU),https://new.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2816244&TypeFile=html,02.10.2023,ПОЗИЦИОННО-ЧУВСТВИТЕЛЬНЫЙ ДЕТЕКТОР ТЕПЛОВЫХ И ХОЛОДНЫХ НЕЙТРОНОВ ОТ КОМПАКТНОГО ИССЛЕДУЕМОГО ОБРАЗЦА,https://new.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/816/244/%D0%98%D0%97-02816244-00001/document.pdf,13.02.2024 БИМП №5,"Колесников А.Г., Залиханов Б.Ж., Боднарчук В.И.",Лаборатория ядерных проблем им. В.П. Джелепова
